voc	Xcount	sequenceLength
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	8	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	3	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	27	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	8	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	17	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
Alpha	0	1271
